@relation 'testDataset_04-weka.filters.unsupervised.attribute.Remove-R1-4,8-9,12,14,17,19-20,26-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last'

@attribute 'OP SETT 3' {0,1}
@attribute 'SENSOR 1' {0,0.060269,0.238089,0.597937,0.626985,1}
@attribute 'SENSOR 2' {0,0.000093,0.000648,0.001111,0.001574,0.002685,0.003148,0.003704,0.004167,0.00463,0.005741,0.005834,0.005926,0.006019,0.006389,0.006852,0.006945,0.007038,0.007593,0.007686,0.008334,0.008612,0.008797,0.008982,0.009353,0.009723,0.009816,0.010001,0.010186,0.010927,0.011297,0.012409,0.012594,0.013057,0.013149,0.01352,0.015927,0.118622,0.119085,0.119919,0.120011,0.120382,0.120474,0.120567,0.120937,0.121308,0.121585,0.121678,0.122882,0.122974,0.123067,0.123252,0.124456,0.124641,0.124734,0.124919,0.125012,0.125104,0.125289,0.125382,0.125845,0.125938,0.126308,0.126401,0.126493,0.126586,0.126678,0.126864,0.126956,0.127234,0.127975,0.128067,0.128253,0.128345,0.128993,0.129179,0.129364,0.129549,0.129827,0.129919,0.130197,0.130938,0.131957,0.132049,0.133068,0.133901,0.134364,0.135568,0.135661,0.175664,0.176405,0.176498,0.177794,0.179739,0.179831,0.180109,0.180572,0.18085,0.181776,0.182054,0.182146,0.182239,0.182517,0.182887,0.183906,0.184276,0.184647,0.184739,0.18548,0.186499,0.18724,0.18761,0.187795,0.188629,0.189462,0.190203,0.191962,0.193444,0.630058,0.63117,0.631725,0.63191,0.632096,0.633762,0.634781,0.635151,0.6358,0.636911,0.637003,0.637189,0.637281,0.638578,0.638948,0.639041,0.639226,0.639318,0.640244,0.641078,0.642282,0.642374,0.643486,0.643856,0.644412,0.645708,0.646356,0.647282,0.653486,0.654412,0.656079,0.656357,0.656913,0.65719,0.657283,0.657931,0.658024,0.658394,0.658579,0.659043,0.659691,0.660524,0.660895,0.660987,0.66145,0.662006,0.662098,0.662191,0.662284,0.662747,0.663117,0.663302,0.663673,0.663765,0.663858,0.665525,0.665895,0.666173,0.666728,0.667654,0.668858,0.669321,0.673118,0.674136,0.978146,0.979628,0.980183,0.981758,0.982776,0.982961,0.983424,0.983887,0.984258,0.985091,0.986017,0.98611,0.987314,0.987591,0.987962,0.98861,0.98898,0.989073,0.989351,0.990092,0.992036,0.993148,0.993333,0.994351,0.994722,0.997592,0.998518,1}
@attribute 'SENSOR 5' {0,0.146592,0.293184,0.507937,0.61718,1}
@attribute 'SENSOR 6' {0,0.000628,0.001256,0.001884,0.142588,0.143216,0.143844,0.144472,0.145101,0.145729,0.205402,0.207286,0.207915,0.208543,0.209171,0.209799,0.495603,0.496859,0.497487,0.498116,0.498744,0.499372,0.5,0.500628,0.613065,0.613693,0.614322,0.61495,0.615578,0.616206,0.994975,0.998116,0.998744,0.999372,1}
@attribute 'SENSOR 8' {0,0.000296,0.000422,0.000444,0.000465,0.000613,0.000634,0.000676,0.000697,0.00076,0.000781,0.000803,0.000824,0.000845,0.000887,0.00095,0.000972,0.000993,0.001014,0.001056,0.001119,0.001141,0.001162,0.001204,0.001352,0.001415,0.001436,0.001479,0.001563,0.001669,0.001711,0.003084,0.625768,0.626022,0.626444,0.626486,0.626592,0.626677,0.62674,0.626761,0.626993,0.627036,0.627057,0.627099,0.62712,0.627141,0.627162,0.627183,0.627247,0.627268,0.62731,0.627331,0.627352,0.627395,0.627416,0.627437,0.627458,0.627479,0.627543,0.627564,0.627606,0.627627,0.627669,0.627733,0.627754,0.627796,0.627838,0.628007,0.628303,0.62862,0.628683,0.629,0.649551,0.649678,0.649952,0.650016,0.650037,0.650079,0.650143,0.650164,0.650206,0.650312,0.650396,0.650417,0.650438,0.650459,0.650481,0.650523,0.650607,0.650628,0.650649,0.650671,0.650755,0.650776,0.65084,0.650924,0.650987,0.651199,0.651389,0.651515,0.651621,0.651663,0.651706,0.651748,0.652403,0.852656,0.852719,0.852741,0.852909,0.852973,0.852994,0.853015,0.853078,0.8531,0.853142,0.853163,0.853184,0.853226,0.853247,0.85329,0.853311,0.853395,0.853416,0.853501,0.853522,0.853543,0.853585,0.853628,0.853649,0.85405,0.85443,0.863576,0.863681,0.863703,0.863745,0.863766,0.863829,0.86385,0.863872,0.863935,0.863956,0.863977,0.863998,0.864019,0.864125,0.864167,0.864188,0.86421,0.864336,0.864442,0.864738,0.86478,0.864885,0.864949,0.865118,0.865456,0.998902,0.998965,0.999113,0.999134,0.999155,0.999176,0.999197,0.999219,0.99924,0.999261,0.999282,0.999366,0.999387,0.999472,0.999493,0.999514,0.999578,0.99962,0.999662,0.999725,0.999894,0.999937,1}
@attribute 'SENSOR 10' {0,0.216216,0.243243,0.27027,0.351351,0.378378,0.405405,0.432432,0.864865,0.891892,0.972973,1}
@attribute 'SENSOR 11' {0,0.005902,0.008432,0.011804,0.012648,0.017707,0.019393,0.021079,0.022766,0.025295,0.027825,0.028668,0.029511,0.03457,0.035413,0.037099,0.038786,0.039629,0.043002,0.043845,0.045531,0.05059,0.058179,0.059022,0.061551,0.062395,0.064081,0.064924,0.06661,0.067454,0.070826,0.43339,0.438449,0.444351,0.44688,0.447723,0.451096,0.451939,0.453626,0.456155,0.456998,0.458685,0.461214,0.462901,0.46543,0.467116,0.46796,0.468803,0.470489,0.471332,0.472175,0.473019,0.473862,0.476391,0.477234,0.478078,0.479764,0.480607,0.48145,0.482293,0.483137,0.484823,0.485666,0.487352,0.489882,0.490725,0.492411,0.494098,0.494941,0.495784,0.496627,0.49747,0.498314,0.499157,0.5,0.500843,0.501686,0.503373,0.504216,0.505059,0.505902,0.506745,0.507589,0.508432,0.510961,0.512648,0.514334,0.521079,0.521922,0.522766,0.524452,0.527825,0.529511,0.535413,0.652614,0.658516,0.662732,0.665261,0.666105,0.666948,0.667791,0.672007,0.67285,0.675379,0.677066,0.678752,0.683811,0.688027,0.689713,0.692243,0.693086,0.704047,0.706577,0.709106,0.713322,0.718381,0.721754,0.72344,0.726813,0.728499,0.729342,0.730185,0.731872,0.732715,0.736088,0.744519,0.746206,0.747892,0.748735,0.749578,0.754637,0.758853,0.759696,0.761383,0.763069,0.765599,0.766442,0.768128,0.768971,0.769815,0.77403,0.777403,0.779089,0.779933,0.780776,0.784992,0.790051,0.806914,0.809444,0.813659,0.814503,0.817032,0.824621,0.910624,0.913153,0.913997,0.917369,0.920742,0.924958,0.925801,0.928331,0.931703,0.935919,0.937605,0.942664,0.946037,0.948567,0.951939,0.954469,0.955312,0.963744,0.969646,0.979764,0.98145,0.986509,0.990725,0.991568,0.994941,1}
@attribute 'SENSOR 13' {0,0.000305,0.00036,0.000443,0.000498,0.000637,0.000692,0.000803,0.000969,0.000997,0.001024,0.00108,0.001108,0.001135,0.001163,0.001218,0.001246,0.001274,0.001384,0.00144,0.001467,0.001551,0.001634,0.001661,0.001689,0.0018,0.001855,0.002077,0.002104,0.002187,0.002464,0.003987,0.995099,0.995348,0.995902,0.995985,0.996013,0.996041,0.996179,0.996318,0.996484,0.996539,0.996567,0.996594,0.99665,0.996733,0.996788,0.996816,0.996844,0.996899,0.996927,0.996954,0.99701,0.997037,0.997065,0.997093,0.99712,0.997148,0.997176,0.997204,0.997231,0.997259,0.997287,0.997314,0.997342,0.99737,0.997397,0.997425,0.997453,0.99748,0.997508,0.997536,0.997563,0.997591,0.997619,0.997647,0.997674,0.997702,0.99773,0.997757,0.997785,0.997813,0.99784,0.997868,0.997923,0.997951,0.997979,0.998006,0.998034,0.998062,0.998117,0.998145,0.998173,0.9982,0.998228,0.998256,0.998283,0.998366,0.998422,0.998449,0.998505,0.99856,0.998671,0.998699,0.998726,0.998754,0.998782,0.998809,0.998837,0.998865,0.998892,0.998976,0.999031,0.999142,0.999169,0.999197,0.99964,0.999778,1}
@attribute 'SENSOR 16' {0,1}
@attribute 'SENSOR 17' {0,0.010753,0.021505,0.032258,0.043011,0.053763,0.064516,0.075269,0.236559,0.258065,0.268817,0.27957,0.290323,0.301075,0.311828,0.322581,0.333333,0.344086,0.354839,0.634409,0.645161,0.655914,0.666667,0.677419,0.688172,0.698925,0.709677,0.72043,0.731183,0.741935,0.924731,0.935484,0.946237,0.956989,0.967742,0.978495,0.989247,1}
@attribute 'SENSOR 18' {0,0.627907,0.651163,0.854123,0.864693,1}
@attribute 'SENSOR 19' {0,1}
@attribute 'SENSOR 20' {0,0.004093,0.004775,0.005457,0.005798,0.006139,0.00648,0.006821,0.007844,0.008186,0.008868,0.00955,0.009891,0.010232,0.010573,0.010914,0.011255,0.011596,0.011937,0.01296,0.013643,0.013984,0.014325,0.014666,0.015007,0.015689,0.01603,0.016371,0.016712,0.017053,0.020805,0.130969,0.131651,0.131992,0.132674,0.133015,0.133697,0.135061,0.136085,0.136426,0.137449,0.13779,0.138131,0.138472,0.139154,0.139836,0.140518,0.140859,0.141201,0.141542,0.141883,0.14427,0.144611,0.145293,0.145634,0.146658,0.146999,0.14734,0.148363,0.148704,0.151091,0.151432,0.151774,0.152797,0.153138,0.154161,0.154502,0.154843,0.155184,0.155866,0.156207,0.156548,0.156889,0.157231,0.157913,0.158254,0.158595,0.158936,0.159277,0.159618,0.160641,0.160982,0.16337,0.165075,0.472033,0.478513,0.479195,0.479877,0.481241,0.481583,0.481924,0.482606,0.483288,0.484652,0.484993,0.485334,0.485675,0.487381,0.488404,0.488745,0.489427,0.490109,0.490791,0.491473,0.492497,0.493179,0.49352,0.493861,0.494884,0.495225,0.495907,0.499318,0.5,0.511255,0.608799,0.614256,0.614598,0.616303,0.618008,0.618349,0.61869,0.620055,0.620737,0.621078,0.622101,0.622442,0.623465,0.624488,0.625853,0.626535,0.628922,0.629263,0.629604,0.630286,0.631992,0.632674,0.633697,0.636767,0.637449,0.640177,0.960778,0.962483,0.962824,0.969645,0.969986,0.97101,0.972715,0.973738,0.97442,0.975102,0.976808,0.97749,0.979195,0.980218,0.982606,0.98397,0.984311,0.986357,0.987722,0.99045,0.990791,0.991814,0.992497,0.997954,1}
@attribute RUL string

@data
1,0.626985,0.667654,0.507937,0.500628,0.86421,0.378378,0.736088,0.997868,1,0.677419,0.864693,1,0.485334,?
0,0.238089,0.012409,0.293184,0.209799,0,0,0.067454,0,0,0.053763,0,0,0.136085,?
1,0,0.120937,0,0.001256,0.627564,0.216216,0.480607,0.997591,0,0.268817,0.627907,1,0.009891,?
1,1,0.989073,1,0.999372,0.999662,1,0.955312,0.998034,1,0.967742,1,1,0.992497,?
0,0.238089,0.007686,0.293184,0.209171,0.000465,0,0.03457,0.000692,0,0.032258,0,0,0.137449,?
1,1,0.987314,1,1,0.999282,0.972973,0.954469,0.997342,1,0.956989,1,1,0.97749,?
1,1,0.981758,1,0.998744,0.999155,0.972973,0.910624,0.99712,1,0.924731,1,1,0.982606,?
1,0.626985,0.666728,0.507937,0.500628,0.864336,0.378378,0.709106,0.998173,0,0.645161,0.864693,1,0.481924,?
1,0.626985,0.654412,0.507937,0.5,0.863745,0.378378,0.672007,0.997176,0,0.634409,0.864693,1,0.491473,?
1,0.626985,0.656357,0.507937,0.5,0.863681,0.378378,0.652614,0.997148,0,0.645161,0.864693,1,0.491473,?
0,0.238089,0.008982,0.293184,0.209799,0.000676,0,0.061551,0.000997,0,0.032258,0,0,0.133697,?
1,0.060269,0.189462,0.146592,0.145101,0.651621,0.216216,0.489882,0.998726,0,0.333333,0.651163,1,0.151091,?
